,Name,Type,Cuisine,PODN
379,Potassium,good,Chinese,24.987719999999996
380,Saturated Fat,bad,Vietnamese,24.844500000000004
381,Vitamin B1,good,Spanish,24.811919999999997
382,Potassium,good,African,24.682705882352934
383,Iron,good,Spanish,24.66822000000001
384,Magnesium,good,Southern,24.665839999999996
385,Fiber,good,Thai,24.56418181818181
386,Cholesterol,bad,Caribbean,24.497140000000044
387,Potassium,good,Southern,24.462939999999982
388,Calories,bad,Spanish,24.440439999999995
389,Vitamin E,good,European,24.253555555555565
390,Potassium,good,Korean,24.245699999999996
391,Potassium,good,Latin American,24.231583166332655
392,Folate,good,Irish,24.212424849699424
393,Zinc,good,American,24.160419999999977
394,Saturated Fat,bad,Chinese,24.125240000000005
395,Vitamin B12,good,Italian,24.116275071633236
396,Vitamin B1,good,Middle Eastern,24.112299999999983
397,Folate,good,Korean,24.06774647887322
398,Vitamin D,good,Southern,24.058202247191026
399,Vitamin B2,good,Chinese,24.027915831663332
400,Alcohol,bad,French,24.010151515151513
401,Iron,good,Southern,23.978276553106202
402,Vitamin E,good,Mediterranean,23.925947580645175
403,Calories,bad,Jewish,23.893960000000007
404,Cholesterol,bad,Vietnamese,23.891919999999992
405,Copper,good,Southern,23.891122244488965
406,Cholesterol,bad,African,23.869058823529425
407,Iron,good,Middle Eastern,23.864399999999996
408,Vitamin B12,good,African,23.66903846153845
409,Calories,bad,British,23.65942
410,Magnesium,good,French,23.624180000000013
411,Vitamin E,good,Italian,23.623158953722346
412,Calories,bad,Eastern European,23.60859999999998
413,Calories,bad,Southern,23.60108
414,Vitamin B12,good,Vietnamese,23.577981366459625
415,Iron,good,Korean,23.516840000000027
416,Vitamin B3,good,Nordic,23.507138810198285
417,Iron,good,Thai,23.493399999999983
418,Vitamin E,good,American,23.4851836734694
419,Calories,bad,Italian,23.45727999999996
420,Fat,bad,Vietnamese,23.41543999999998
421,Fiber,good,African,23.410823529411772
422,Magnesium,good,Chinese,23.385320000000018
423,Vitamin B1,good,British,23.3779759519038
424,Calories,bad,American,23.36368
425,Fiber,good,Cajun,23.29108216432866
426,Calories,bad,French,23.25275999999997
427,Vitamin B2,good,Korean,23.22607999999999
428,Iron,good,Cajun,23.223687374749495
429,Copper,good,French,23.18671999999998
430,Vitamin E,good,Southern,23.03427402862986
431,Magnesium,good,Middle Eastern,22.971340000000012
432,Calories,bad,Cajun,22.86648000000001
433,Magnesium,good,Spanish,22.83616000000001
434,Folate,good,Cajun,22.825575757575745
435,Iron,good,Eastern European,22.789078156312648
436,Vitamin K,good,Nordic,22.78708955223882
437,Magnesium,good,Cajun,22.764019999999984
438,Calories,bad,Mediterranean,22.70467999999999
439,Vitamin B1,good,Eastern European,22.628200000000014
440,Copper,good,Irish,22.61885999999999
441,Calories,bad,European,22.574299999999976
442,Vitamin E,good,Latin American,22.41301810865191
443,Fiber,good,Chinese,22.39770623742453
444,Cholesterol,bad,Thai,22.32048
445,Vitamin E,good,French,22.20481707317072
446,Magnesium,good,Irish,22.198340000000005
447,Calories,bad,Thai,22.17109999999998
448,Vitamin B2,good,Cajun,22.1051503006012
449,Vitamin B2,good,British,22.020620000000005
